,local_time,temp(C),feels_like(C),humidity(%),weather_description,cloudiness(%),wind_speed(kmph),rain_in_last_3h(mm),snow_in_last_3h(mm),pop(%)(ti_le_co_mua),day_night
0,2023-11-10 07:00:00,25.18,26.11,91,scattered clouds,25,1.97,0.0,0,0.01,d
1,2023-11-10 10:00:00,28.34,31.63,73,broken clouds,64,2.72,0.0,0,0.03,d
2,2023-11-10 13:00:00,31.71,34.9,55,light rain,88,2.55,0.16,0,0.23,d
3,2023-11-10 16:00:00,30.58,34.27,62,light rain,96,3.19,0.14,0,0.2,d
4,2023-11-10 19:00:00,27.48,29.98,74,broken clouds,65,4.46,0.0,0,0.0,n
5,2023-11-10 22:00:00,25.97,26.8,84,clear sky,6,3.66,0.0,0,0.0,n
6,2023-11-11 01:00:00,25.25,26.11,88,clear sky,8,2.75,0.0,0,0.0,n
7,2023-11-11 04:00:00,24.69,25.55,90,few clouds,22,2.43,0.0,0,0.0,n
8,2023-11-11 07:00:00,25.13,25.98,88,scattered clouds,42,1.94,0.0,0,0.0,d
9,2023-11-11 10:00:00,30.03,32.95,61,overcast clouds,85,3.03,0.0,0,0.02,d
10,2023-11-11 13:00:00,32.74,35.11,48,overcast clouds,89,3.12,0.0,0,0.01,d
11,2023-11-11 16:00:00,30.36,33.39,60,overcast clouds,100,4.08,0.0,0,0.0,d
12,2023-11-11 19:00:00,27.53,30.08,74,overcast clouds,85,5.27,0.0,0,0.0,n
13,2023-11-11 22:00:00,26.16,26.16,82,scattered clouds,28,3.48,0.0,0,0.0,n
14,2023-11-12 01:00:00,25.85,26.67,84,light rain,48,2.29,0.22,0,0.33,n
15,2023-11-12 04:00:00,25.37,26.17,85,light rain,100,2.59,0.18,0,0.39,n
16,2023-11-12 07:00:00,25.25,26.01,84,light rain,100,2.78,0.43,0,0.41,d
17,2023-11-12 10:00:00,29.37,32.24,64,light rain,86,4.74,0.73,0,0.76,d
18,2023-11-12 13:00:00,29.96,32.44,59,light rain,86,4.75,2.74,0,0.93,d
19,2023-11-12 16:00:00,28.33,30.75,67,moderate rain,76,5.49,3.23,0,0.95,d
20,2023-11-12 19:00:00,24.88,25.55,82,moderate rain,67,3.75,3.13,0,0.95,n
21,2023-11-12 22:00:00,22.04,22.4,81,light rain,98,5.19,0.25,0,0.48,n
22,2023-11-13 01:00:00,19.52,19.65,82,light rain,99,5.55,1.12,0,0.6,n
23,2023-11-13 04:00:00,17.77,17.75,83,light rain,100,5.65,1.38,0,0.86,n
24,2023-11-13 07:00:00,16.88,16.7,80,light rain,100,5.91,1.03,0,0.85,d
25,2023-11-13 10:00:00,16.37,16.16,81,light rain,100,6.04,1.04,0,0.95,d
26,2023-11-13 13:00:00,15.32,15.06,83,light rain,100,6.44,0.82,0,0.91,d
27,2023-11-13 16:00:00,15.11,14.78,81,light rain,100,5.42,0.53,0,0.66,d
28,2023-11-13 19:00:00,14.94,14.64,83,light rain,100,4.32,0.79,0,0.76,n
29,2023-11-13 22:00:00,14.88,14.55,82,light rain,100,3.78,0.94,0,0.76,n
30,2023-11-14 01:00:00,14.98,14.66,82,light rain,100,3.69,0.12,0,0.62,n
31,2023-11-14 04:00:00,15.22,14.9,81,overcast clouds,100,3.66,0.0,0,0.11,n
32,2023-11-14 07:00:00,15.39,15.03,79,overcast clouds,100,3.24,0.0,0,0.09,d
33,2023-11-14 10:00:00,16.05,15.68,76,overcast clouds,100,3.59,0.0,0,0.0,d
34,2023-11-14 13:00:00,16.87,16.48,72,overcast clouds,100,3.64,0.0,0,0.0,d
35,2023-11-14 16:00:00,18.19,17.83,68,overcast clouds,98,3.35,0.0,0,0.0,d
36,2023-11-14 19:00:00,16.73,16.38,74,overcast clouds,86,2.28,0.0,0,0.0,n
37,2023-11-14 22:00:00,17.12,16.8,74,overcast clouds,100,1.64,0.0,0,0.0,n
38,2023-11-15 01:00:00,17.08,16.81,76,overcast clouds,100,1.58,0.0,0,0.0,n
39,2023-11-15 04:00:00,16.66,16.35,76,overcast clouds,95,1.38,0.0,0,0.0,n
